cliente_id,idade,genero,tempo_relacionamento_meses,categoria_fidelidade,ticket_medio_mensal,forma_pagamento,reclamacoes_registradas,pedidos_no_show,nota_satisfacao,data_cadastro,cliente_inativo
1693,58.0,M,31,prata,86.03,Cartão de Crédito,4,0,4.0,26/07/2024,sim
1229,27.0,F,56,ouro,148.72,Cartão de Crédito,2,0,3.0,08/08/2021,No
180,49.0,F,47,prata,92.06,Pix,0,5,5.0,22/05/2023,Não
1989,31.0,masculino,3,BRONZE,34.75,Cartão de Crédito,1,0,4.0,2022-09-07,0
3,58.0,Masculino,3,Ouro,158.49,Pix,3,0,2.0,2024-03-28,S
1596,28.0,masc,20,Prata,105.99,Cartão de Crédito,1,2,3.0,06/04/2021,0
1261,34.0,masculino,30,Prata,93.95,Cartão de Crédito,1,1,3.0,07/04/2022,não
1832,77.0,M,38,bronze,55.29,Cartão de Crédito,2,5,4.0,23/02/2024,S
505,34.0,F,5,Prata,94.34,  Cartão de Crédito ,1,0,2.0,2022-08-18,Yes
921,72.0,Masculino,45,BRONZE,"R$ 54,57",  Cartão de Crédito ,1,3,3.0,2023-09-15,Yes
420,49.0,masc,68,ouro,166.95,Pix,3,0,5.0,27/03/2022,No
1731,66.0,Masculino,51,prata,84.85,Pix,2,1,4.0,2022-01-13,não
1317,61.0,masculino,13,prata,,Boleto,1,3,4.0,2024-01-31,No
263,36.0,fem,34,BRONZE,34.94,Boleto,2,0,3.0,2024-08-13,não
397,20.0,Masculino,36,Bronze,39.06,Cartão de Crédito,2,1,2.0,21/11/2021,Não
1938,52.0,Feminino,19,OURO,158.75,Cartão de Crédito,3,4,5.0,2023-12-12,No
2041,35.0,masc,24,prata,79.1,Pix,0,1,3.0,18/02/2021,No
1588,22.0,F,2,Bronze,51.26,Pix,1,3,5.0,2021-11-19,não
2076,43.0,M,55,BRONZE,41.4,Cartão de Crédito,1,1,2.0,19/04/2021,N
518,22.0,Masculino,49,ouro,"R$ 161,40",Pix,0,0,2.0,16/11/2023,Não
1685,40.0,Feminino,12,OURO,171.99,Cartão de Crédito,1,0,5.0,2023-02-04,não
1140,51.0,M,62,Prata,85.29,Cartão de Crédito,0,0,4.0,2021-07-22,Não
29,51.0,feminino,21,BRONZE,41.46,Boleto,3,1,4.0,19/05/2021,S
515,77.0,Masculino,36,Ouro,156.91,Cartão de Crédito,2,3,,01/05/2024,0
342,36.0,M,69,bronze,"R$ 41,23",Boleto,0,0,1.0,2024-10-22,1
13,63.0,masculino,43,OURO,140.98,Boleto,1,0,2.0,17/12/2022,0
865,70.0,M,51,BRONZE,33.16,Cartão de Crédito,0,0,,08/06/2021,0
1589,71.0,masculino,70,Bronze,"R$ 57,43",Boleto,0,2,,20/07/2022,N
1705,75.0,,62,bronze,44.57,Cartão de Crédito,2,4,5.0,29/10/2021,Não
1972,75.0,M,19,prata,"R$ 89,37",Cartão de Crédito,0,3,3.0,26/07/2022,No
987,56.0,Masculino,55,prata,97.27,Cartão de Crédito,1,0,5.0,20/08/2023,0
714,65.0,F,17,Prata,96.25,  Pix ,1,1,4.0,05/01/2024,0
1886,29.0,masc,45,OURO,144.47,Pix,0,3,5.0,2024-04-17,Não
1792,72.0,F,54,Bronze,59.5,  Boleto ,2,1,4.0,2023-06-15,Yes
241,26.0,feminino,26,OURO,,Boleto,0,2,3.0,2023-10-20,Não
396,72.0,masculino,12,OURO,162.12,Cartão de Crédito,1,1,4.0,04/05/2022,N
2166,75.0,Feminino,60,bronze,42.79,Cartão de Crédito,1,2,5.0,2021-05-27,Não
1299,50.0,masc,9,BRONZE,47.56,Pix,0,1,1.0,2021-04-16,1
1609,32.0,masculino,37,ouro,158.08,  Pix ,0,3,3.0,2022-01-24,N
1817,32.0,Feminino,20,Bronze,39.39,  Cartão de Crédito ,2,5,3.0,18/01/2021,0
432,63.0,masc,49,prata,92.6,Pix,2,5,2.0,2021-08-06,sim
2075,,masc,3,Bronze,61.96,Pix,1,4,,2023-12-21,S
197,39.0,F,68,BRONZE,"R$ 37,24",Boleto,1,1,2.0,2024-04-16,sim
1657,70.0,M,26,ouro,"R$ 163,41",Pix,1,0,4.0,2023-11-22,Não
1088,79.0,Feminino,15,bronze,57.22,  Boleto ,0,2,2.0,21/04/2023,Não
743,57.0,masculino,55,OURO,"R$ 151,01",Pix,0,12,3.0,2021-07-24,Sim
1003,52.0,masculino,55,ouro,163.18,Cartão de Crédito,1,2,4.0,2021-05-27,Não
972,43.0,masc,67,Prata,95.93,Pix,3,3,4.0,2021-12-03,sim
569,57.0,masc,34,OURO,160.69,Cartão de Crédito,1,4,3.0,2024-03-27,1
2060,42.0,masc,2,bronze,"R$ 51,46",Pix,0,0,4.0,2023-04-29,Não
695,23.0,M,19,ouro,"R$ 159,47",Pix,2,1,2.0,2022-07-01,1
1517,47.0,fem,25,prata,97.07,  Pix ,0,4,5.0,2021-11-17,Não
364,73.0,F,30,Prata,"R$ 77,02",Pix,2,2,3.0,2022-11-28,sim
1063,26.0,Masculino,53,Bronze,43.93,  Cartão de Crédito ,3,4,3.0,2024-07-12,S
2145,,fem,27,PRATA,91.34,Boleto,1,7,4.0,2024-06-16,No
1966,63.0,Masculino,49,BRONZE,"R$ 42,42",Pix,0,0,3.0,2021-03-08,0
580,24.0,feminino,4,Bronze,"R$ 52,50",  Pix ,0,0,5.0,27/10/2022,Yes
1089,58.0,masc,13,bronze,54.17,  Boleto ,1,0,2.0,27/06/2024,1
1052,40.0,F,54,PRATA,94.03,Pix,0,0,3.0,2021-05-28,0
195,77.0,masc,34,PRATA,82.77,Cartão de Crédito,3,1,2.0,12/10/2023,sim
2171,19.0,M,40,BRONZE,46.17,Cartão de Crédito,2,4,5.0,03/02/2022,N
1029,53.0,F,53,PRATA,"R$ 103,02",Cartão de Crédito,0,0,3.0,03/08/2024,0
1828,79.0,fem,32,Prata,87.71,  Pix ,0,0,5.0,2022-12-17,0
944,47.0,Masculino,41,BRONZE,51.79,Cartão de Crédito,0,0,3.0,2022-11-21,N
59,64.0,fem,1,bronze,38.99,Cartão de Crédito,0,2,5.0,2024-01-24,sim
399,35.0,masculino,69,Ouro,162.89,  Cartão de Crédito ,1,5,4.0,2021-01-04,N
1565,52.0,M,30,Bronze,54.64,Pix,2,2,5.0,2023-04-04,N
821,19.0,fem,25,Bronze,43.4,Pix,4,0,2.0,2023-12-18,sim
1117,79.0,masculino,45,PRATA,97.42,Cartão de Crédito,1,0,2.0,2021-04-22,Yes
1065,64.0,fem,38,BRONZE,"R$ 46,10",Cartão de Crédito,3,0,,15/04/2023,Yes
1091,49.0,masculino,29,Bronze,"R$ 42,89",,2,1,4.0,21/03/2023,Yes
1611,66.0,F,17,PRATA,83.08,Cartão de Crédito,1,2,2.0,2023-09-25,Sim
1460,49.0,M,36,bronze,38.22,Boleto,0,0,3.0,2024-04-16,sim
207,65.0,F,27,prata,96.38,Pix,1,0,5.0,2022-04-28,0
1075,46.0,Masculino,18,PRATA,92.46,Pix,0,3,4.0,13/11/2021,No
1051,49.0,Feminino,25,ouro,171.47,  Cartão de Crédito ,2,5,3.0,2022-06-10,Não
1264,69.0,M,4,BRONZE,"R$ 58,00",Cartão de Crédito,1,1,3.0,21/03/2021,sim
756,45.0,feminino,71,Bronze,"R$ 53,76",Cartão de Crédito,1,5,4.0,01/04/2021,0
1750,62.0,Masculino,13,bronze,"R$ 52,01",Cartão de Crédito,0,0,3.0,06/12/2021,N
708,53.0,M,68,Bronze,46.88,Pix,1,1,3.0,2023-02-23,Yes
1764,55.0,masc,27,bronze,40.83,Boleto,1,4,4.0,2023-04-10,0
1717,,,5,PRATA,"R$ 90,38",Pix,1,1,1.0,08/10/2021,Sim
1439,37.0,masculino,6,ouro,145.13,Pix,1,0,4.0,01/06/2022,No
25,66.0,masculino,29,ouro,160.8,Pix,1,2,3.0,01/05/2021,não
271,36.0,masc,64,Bronze,46.43,Pix,3,2,5.0,2023-07-07,S
1831,40.0,F,39,Prata,93.93,Pix,0,0,4.0,14/02/2023,N
341,57.0,fem,21,Prata,81.65,,1,14,3.0,22/04/2022,1
830,19.0,M,64,BRONZE,48.84,Boleto,2,0,4.0,2023-02-09,No
375,72.0,fem,55,prata,86.43,Boleto,1,0,4.0,11/09/2023,0
2016,37.0,masculino,71,bronze,45.63,  Cartão de Crédito ,2,0,4.0,22/10/2023,Yes
1195,50.0,fem,24,prata,71.16,Pix,2,0,4.0,17/07/2022,N
1669,51.0,masc,16,PRATA,99.77,Pix,3,1,5.0,2022-08-08,No
1605,25.0,fem,2,Bronze,"R$ 42,38",Cartão de Crédito,1,2,,2023-01-31,Yes
464,43.0,,36,Bronze,46.43,  Boleto ,3,2,4.0,16/12/2022,não
1269,77.0,M,38,Bronze,,Cartão de Crédito,1,0,3.0,2023-12-20,sim
44,39.0,feminino,8,BRONZE,28.69,Pix,1,7,3.0,2021-10-14,S
1355,31.0,masc,30,bronze,33.56,Pix,2,7,3.0,2024-03-06,1
735,30.0,Feminino,58,prata,96.56,Pix,2,0,4.0,2022-04-19,N
579,73.0,feminino,28,bronze,"R$ 41,45",  Boleto ,2,1,4.0,2021-01-24,No
329,26.0,feminino,7,ouro,163.11,Pix,0,0,3.0,16/05/2024,No
688,54.0,Feminino,5,Ouro,"R$ 148,49",Boleto,2,0,2.0,12/03/2024,Yes
1768,,masculino,18,bronze,"R$ 58,14",Boleto,0,0,1.0,11/03/2024,S
173,65.0,Masculino,5,BRONZE,38.46,Pix,2,0,5.0,2022-03-05,S
431,23.0,Feminino,67,Bronze,36.54,Cartão de Crédito,2,1,4.0,27/02/2024,Não
2066,49.0,Masculino,71,PRATA,87.93,  Cartão de Crédito ,1,0,5.0,2024-03-13,N
1992,45.0,masculino,25,prata,90.59,Cartão de Crédito,3,0,4.0,2022-07-24,0
2078,45.0,Masculino,55,OURO,,Cartão de Crédito,0,11,3.0,17/02/2024,Sim
936,76.0,Feminino,2,prata,85.67,Boleto,2,3,3.0,2023-04-14,Yes
1627,53.0,M,24,Bronze,"R$ 35,37",Boleto,2,4,3.0,27/12/2023,Sim
1647,39.0,masc,55,prata,"R$ 67,77",Cartão de Crédito,0,0,2.0,2022-08-03,N
1943,72.0,Masculino,12,bronze,40.75,  Pix ,0,0,3.0,2022-05-08,1
1434,52.0,M,54,BRONZE,"R$ 27,74",Pix,0,1,,19/09/2024,No
1905,38.0,M,6,ouro,153.35,Pix,1,5,3.0,03/11/2022,0
1455,53.0,masculino,48,BRONZE,47.6,Pix,1,0,5.0,2023-06-01,No
100,26.0,masc,64,prata,90.53,Cartão de Crédito,0,3,5.0,2022-03-09,N
1318,54.0,fem,65,BRONZE,51.17,Boleto,2,3,3.0,2023-10-12,S
1085,30.0,Feminino,30,Bronze,39.66,Boleto,1,0,,2022-02-16,S
883,45.0,fem,20,Prata,84.67,  Cartão de Crédito ,2,1,3.0,27/11/2022,sim
857,33.0,feminino,57,prata,100.83,Cartão de Crédito,1,0,2.0,18/10/2024,0
238,44.0,fem,49,prata,"R$ 89,94",Pix,1,3,4.0,04/06/2022,No
72,29.0,masc,23,PRATA,"R$ 88,90",Cartão de Crédito,2,4,5.0,26/12/2023,0
836,66.0,fem,68,prata,90.1,Pix,0,0,3.0,2022-09-19,0
1147,50.0,masculino,43,Prata,89.58,  Pix ,1,1,4.0,2024-05-31,0
1783,19.0,fem,48,prata,78.41,Pix,1,2,3.0,16/04/2022,N
1303,61.0,Masculino,23,BRONZE,42.34,Boleto,3,0,4.0,29/01/2021,Yes
1773,40.0,masculino,9,Prata,82.29,Pix,1,5,3.0,2022-05-11,Yes
2138,19.0,Feminino,24,BRONZE,47.72,Cartão de Crédito,2,4,4.0,2023-03-03,Sim
862,75.0,M,22,BRONZE,"R$ 40,01",Pix,0,0,,22/06/2023,0
1881,41.0,Masculino,65,Bronze,,Pix,2,1,3.0,2021-10-14,S
1511,38.0,Masculino,26,OURO,158.8,Boleto,0,7,3.0,2023-02-20,No
260,54.0,feminino,5,prata,,Cartão de Crédito,0,4,3.0,2022-12-19,Sim
811,20.0,M,27,Bronze,41.96,Pix,1,0,4.0,2022-12-11,não
141,78.0,M,31,bronze,"R$ 51,54",  Pix ,1,1,3.0,21/01/2021,Não
805,63.0,Feminino,51,bronze,57.85,Pix,2,2,3.0,30/03/2024,Não
201,40.0,F,1,PRATA,72.78,Cartão de Crédito,1,1,3.0,2024-05-15,Não
747,50.0,feminino,42,bronze,30.53,Pix,0,1,5.0,12/10/2023,Não
700,23.0,masculino,15,bronze,"R$ 42,25",Cartão de Crédito,3,2,4.0,27/01/2024,N
351,51.0,masculino,47,PRATA,83.88,Boleto,0,0,3.0,05/03/2023,N
1720,50.0,fem,44,Bronze,53.21,Cartão de Crédito,2,0,5.0,2024-09-08,No
872,30.0,feminino,35,ouro,168.13,,2,1,3.0,16/07/2021,No
1727,76.0,masculino,36,prata,94.91,Pix,1,3,5.0,15/07/2021,não
2183,55.0,masc,26,bronze,43.02,Pix,0,2,4.0,2023-05-01,No
1651,29.0,feminino,53,Bronze,37.89,Pix,2,2,5.0,05/04/2024,N
472,67.0,feminino,61,Bronze,33.02,Cartão de Crédito,1,0,3.0,13/05/2021,sim
1222,52.0,fem,56,bronze,"R$ 51,50",Cartão de Crédito,2,0,3.0,2023-12-28,S
1985,57.0,,4,OURO,180.58,Pix,1,2,5.0,2024-05-07,Não
2015,58.0,Masculino,49,prata,99.77,Pix,6,1,3.0,20/07/2022,sim
1547,60.0,fem,32,Bronze,48.84,Boleto,0,15,,22/08/2024,sim
211,34.0,masc,38,Prata,81.94,Pix,0,0,2.0,11/12/2022,No
1505,55.0,fem,68,BRONZE,33.85,Cartão de Crédito,0,1,4.0,2023-08-25,0
2082,23.0,M,64,bronze,"R$ 47,59",Pix,2,0,,2024-07-17,Sim
1082,79.0,Masculino,54,BRONZE,"R$ 42,99",Pix,2,2,2.0,07/06/2021,Yes
1786,33.0,masc,25,BRONZE,47.9,Boleto,2,3,,07/10/2023,0
466,77.0,fem,39,OURO,162.41,  Pix ,0,1,4.0,2022-11-15,Não
1675,62.0,masculino,45,Ouro,161.41,Pix,1,0,4.0,05/10/2021,N
738,38.0,feminino,52,bronze,53.11,Cartão de Crédito,0,0,2.0,05/03/2023,N
2134,42.0,feminino,64,PRATA,82.76,Cartão de Crédito,1,6,,17/07/2024,0
654,67.0,feminino,7,bronze,54.04,Pix,2,0,5.0,2023-11-30,No
413,,masc,13,PRATA,94.41,Boleto,0,2,2.0,11/02/2021,1
1343,25.0,M,7,ouro,"R$ 164,68",Boleto,3,1,2.0,2021-08-03,1
1179,34.0,masculino,61,prata,81.51,Pix,2,1,3.0,27/04/2021,Não
451,77.0,masc,63,Ouro,150.16,Boleto,1,2,3.0,2022-11-24,No
233,19.0,M,12,Prata,101.45,Cartão de Crédito,3,2,3.0,2022-02-19,sim
1211,56.0,fem,6,prata,80.2,Cartão de Crédito,0,4,,07/11/2021,N
1610,25.0,masc,44,PRATA,"R$ 90,42",Cartão de Crédito,0,2,3.0,2022-01-09,N
1247,71.0,Feminino,23,PRATA,80.37,Cartão de Crédito,0,2,5.0,16/07/2023,não
682,26.0,feminino,17,BRONZE,"R$ 54,01",  Cartão de Crédito ,1,0,5.0,2024-06-23,Não
2024,55.0,F,38,BRONZE,34.03,Cartão de Crédito,1,0,4.0,03/07/2022,não
2109,35.0,F,58,Ouro,166.7,  Pix ,2,1,4.0,16/03/2024,No
1160,39.0,Feminino,38,prata,75.15,  Boleto ,3,1,4.0,2023-12-25,No
1654,54.0,masc,26,Bronze,"R$ 26,81",Cartão de Crédito,0,0,5.0,14/01/2024,Não
766,66.0,fem,43,PRATA,82.19,Boleto,2,1,3.0,2024-10-15,N
722,75.0,F,55,Bronze,35.48,  Pix ,3,1,3.0,20/10/2022,No
639,67.0,fem,16,BRONZE,39.65,Pix,0,5,5.0,2022-04-22,No
1930,77.0,Masculino,31,ouro,159.76,Cartão de Crédito,1,0,4.0,2023-10-06,No
1862,36.0,masc,2,prata,81.73,  Boleto ,3,1,4.0,19/05/2023,0
1984,64.0,masculino,61,PRATA,94.51,Pix,1,0,5.0,11/06/2024,N
362,73.0,feminino,26,Prata,85.03,Pix,0,0,3.0,2024-06-15,Não
1891,29.0,F,53,bronze,45.53,Cartão de Crédito,0,1,4.0,2022-01-30,No
1756,,masc,67,Prata,80.42,Cartão de Crédito,2,1,3.0,14/04/2021,Sim
519,47.0,,42,bronze,"R$ 26,14",Cartão de Crédito,1,0,5.0,11/10/2021,No
1224,58.0,F,28,BRONZE,50.43,Pix,1,1,,29/06/2023,N
759,25.0,masculino,37,Bronze,44.86,Pix,4,0,4.0,2024-08-25,sim
825,56.0,fem,27,bronze,33.62,Cartão de Crédito,1,1,5.0,14/03/2023,0
848,21.0,Feminino,54,PRATA,76.55,  Cartão de Crédito ,1,1,3.0,23/07/2023,N
563,48.0,Feminino,26,bronze,43.21,Cartão de Crédito,1,3,4.0,2023-04-23,Não
301,40.0,Feminino,50,Bronze,,Pix,1,1,3.0,2023-12-19,não
2046,79.0,fem,20,BRONZE,49.98,Pix,4,0,4.0,26/04/2024,Não
1284,67.0,Masculino,17,prata,93.1,  Cartão de Crédito ,1,1,,24/05/2022,No
1474,30.0,masc,1,Bronze,54.63,,1,2,5.0,06/12/2021,No
1174,29.0,Feminino,36,bronze,42.62,Pix,1,0,5.0,23/11/2023,não
675,56.0,masc,28,Bronze,33.69,  Boleto ,1,9,,13/01/2023,S
979,39.0,masculino,16,bronze,30.23,Pix,1,5,4.0,06/05/2021,Não
780,70.0,M,34,OURO,163.32,Cartão de Crédito,3,2,3.0,04/09/2021,Não
230,28.0,masc,20,PRATA,88.11,Cartão de Crédito,2,0,5.0,13/10/2022,0
471,63.0,F,57,Prata,98.48,Pix,1,5,3.0,09/07/2024,não
846,18.0,M,63,Ouro,156.12,Pix,2,0,3.0,18/08/2023,não
1169,79.0,Feminino,31,bronze,48.89,Pix,4,0,5.0,01/10/2024,0
1111,57.0,feminino,37,OURO,"R$ 160,25",Pix,4,2,,03/05/2022,0
557,63.0,feminino,63,ouro,145.9,Cartão de Crédito,2,3,,02/05/2024,Yes
118,26.0,Feminino,31,Prata,"R$ 88,68",Pix,1,0,4.0,31/03/2022,Não
1450,24.0,masculino,53,OURO,145.45,Cartão de Crédito,1,1,4.0,14/05/2022,0
1871,193.0,feminino,7,bronze,23.66,Cartão de Crédito,1,9,2.0,2022-06-12,Yes
1780,60.0,fem,11,PRATA,106.44,Boleto,2,0,4.0,24/04/2024,0
1237,18.0,feminino,21,bronze,46.33,Pix,1,5,3.0,22/05/2023,1
2178,47.0,Feminino,19,Bronze,31.09,Cartão de Crédito,2,0,5.0,12/01/2023,Não
2038,20.0,Masculino,8,Ouro,147.04,Cartão de Crédito,1,3,4.0,2023-06-03,não
638,36.0,masc,64,Bronze,41.91,Boleto,1,0,2.0,18/10/2024,1
1572,40.0,Masculino,24,OURO,163.69,Boleto,2,0,5.0,09/09/2023,N
1842,,fem,47,PRATA,"R$ 88,91",  Pix ,0,0,5.0,2023-01-28,não
71,67.0,feminino,23,Prata,"R$ 88,57",Boleto,4,0,3.0,2021-06-05,S
978,53.0,masculino,22,BRONZE,39.71,Cartão de Crédito,0,0,4.0,2023-10-07,Não
652,58.0,feminino,28,bronze,44.8,Boleto,2,3,3.0,31/08/2023,S
1888,43.0,masc,66,Prata,98.08,Pix,2,3,4.0,12/04/2022,Não
10,23.0,M,10,BRONZE,47.08,  Pix ,0,1,3.0,2024-04-13,0
387,22.0,Masculino,27,BRONZE,40.03,Cartão de Crédito,0,0,3.0,09/05/2022,N
1513,64.0,Masculino,58,ouro,,Pix,3,1,4.0,2023-04-03,Não
128,65.0,Feminino,12,Bronze,36.97,Pix,1,1,2.0,2024-09-27,0
1525,55.0,Feminino,1,Ouro,149.37,Boleto,0,3,4.0,26/03/2022,Não
285,,F,25,Ouro,166.41,Boleto,1,10,5.0,25/12/2023,No
641,59.0,Masculino,32,PRATA,76.63,  Pix ,3,0,5.0,2024-10-01,No
948,26.0,masc,60,Prata,98.44,  Pix ,0,0,5.0,2022-11-15,não
1376,77.0,masculino,49,BRONZE,"R$ 45,23",Cartão de Crédito,2,1,3.0,30/04/2021,N
126,53.0,,59,Ouro,148.63,,1,0,4.0,2024-08-16,não
1398,58.0,M,40,OURO,165.27,Pix,2,4,4.0,2022-01-12,Yes
1674,65.0,masc,34,bronze,48.5,Pix,1,5,4.0,15/04/2022,No
1534,29.0,Feminino,67,Prata,"R$ 81,12",Pix,0,0,2.0,28/11/2023,N
